"Folder Name","Folder Path","File name","Download Link","Preview Link","File Size","Created At","Image Link"
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0255-90.jpg","https://drive.google.com/uc?id=1ujKG3xT7Xii_HYavIGXkRJ5IhhpsbaCx&export=download","https://drive.google.com/uc?id=1ujKG3xT7Xii_HYavIGXkRJ5IhhpsbaCx&export=view","9.4 MB","August 13, 2023 at 9:19:26 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0254-89.jpg","https://drive.google.com/uc?id=117jWh5RsL2Z-ftIVPFpmVjy6x15-qZ0S&export=download","https://drive.google.com/uc?id=117jWh5RsL2Z-ftIVPFpmVjy6x15-qZ0S&export=view","9.68 MB","August 13, 2023 at 9:19:22 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0252-88.jpg","https://drive.google.com/uc?id=18AGicWAEs-J29LRBPfBc582vg-qtvn1s&export=download","https://drive.google.com/uc?id=18AGicWAEs-J29LRBPfBc582vg-qtvn1s&export=view","10.28 MB","August 13, 2023 at 9:19:17 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0250-87.jpg","https://drive.google.com/uc?id=1G9hE66QVZCcOrFrlCQywUUKJIJU7f89E&export=download","https://drive.google.com/uc?id=1G9hE66QVZCcOrFrlCQywUUKJIJU7f89E&export=view","9.84 MB","August 13, 2023 at 9:19:12 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0245-86.jpg","https://drive.google.com/uc?id=1YdsgDQcpnPVkpqYUksA9sG3iPvwUqhrQ&export=download","https://drive.google.com/uc?id=1YdsgDQcpnPVkpqYUksA9sG3iPvwUqhrQ&export=view","9.81 MB","August 13, 2023 at 9:19:07 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0244-85.jpg","https://drive.google.com/uc?id=1ohZqraK92z10F5JY9Yf4nIWo3UkBtLth&export=download","https://drive.google.com/uc?id=1ohZqraK92z10F5JY9Yf4nIWo3UkBtLth&export=view","9.95 MB","August 13, 2023 at 9:19:01 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0243-84.jpg","https://drive.google.com/uc?id=1_d_t7ZjtYQPj9yYhGk0ITkADSUQpGy4c&export=download","https://drive.google.com/uc?id=1_d_t7ZjtYQPj9yYhGk0ITkADSUQpGy4c&export=view","9.89 MB","August 13, 2023 at 9:18:57 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0239-83.jpg","https://drive.google.com/uc?id=19Cp4Ch_OhyzTnofj63z5VI4N0u2fKbjI&export=download","https://drive.google.com/uc?id=19Cp4Ch_OhyzTnofj63z5VI4N0u2fKbjI&export=view","7.75 MB","August 13, 2023 at 9:18:52 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0238-82.jpg","https://drive.google.com/uc?id=1qTfp7U7R8Fj9K8VI5LKVOPxS7RqNYif2&export=download","https://drive.google.com/uc?id=1qTfp7U7R8Fj9K8VI5LKVOPxS7RqNYif2&export=view","7.52 MB","August 13, 2023 at 9:18:48 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0236-81.jpg","https://drive.google.com/uc?id=1A3kK9Zmhy5K7Dl-JsZ1wzHJ_hx6tw0a8&export=download","https://drive.google.com/uc?id=1A3kK9Zmhy5K7Dl-JsZ1wzHJ_hx6tw0a8&export=view","9.94 MB","August 13, 2023 at 9:18:44 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0235-80.jpg","https://drive.google.com/uc?id=16ax1w_YVQRzjA_F_sSWvDl4848PpwaTW&export=download","https://drive.google.com/uc?id=16ax1w_YVQRzjA_F_sSWvDl4848PpwaTW&export=view","10.01 MB","August 13, 2023 at 9:18:39 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0233-79.jpg","https://drive.google.com/uc?id=1-oiPwQ5Ium8tijwTmO99Km112w33NmVx&export=download","https://drive.google.com/uc?id=1-oiPwQ5Ium8tijwTmO99Km112w33NmVx&export=view","9.82 MB","August 13, 2023 at 9:18:33 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0228-78.jpg","https://drive.google.com/uc?id=1DOuQJG9itdegsawNhBuIiPZXEO0tPbQX&export=download","https://drive.google.com/uc?id=1DOuQJG9itdegsawNhBuIiPZXEO0tPbQX&export=view","9.96 MB","August 13, 2023 at 9:18:27 PM",""
